# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.module.iml.entities.serializer.load.entities.ms,1740391203263000000,1740391263338000000,14
jps.storage.jps.conf.reader.load.component.ms,1740391203263000000,1740391263338000000,4
workspaceModel.mutableEntityStorage.instances.count,1740391203263000000,1740391263338000000,34
jps.artifact.entities.serializer.save.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1740391203263000000,1740391263338000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1740391203263000000,1740391263338000000,334
workspaceModel.mutableEntityStorage.entities.by.source.ms,1740391203263000000,1740391263338000000,0
workspaceModel.orphan.listener.update.ms,1740391203263000000,1740391263338000000,3
workspaceModel.load.cache.metadata.from.file.ms,1740391203263000000,1740391263338000000,12
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1740391203263000000,1740391263338000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1740391203263000000,1740391263338000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1740391203263000000,1740391263338000000,1
workspaceModel.global.updates.ms,1740391203263000000,1740391263338000000,8
workspaceModel.moduleManagerBridge.get.modules.ms,1740391203263000000,1740391263338000000,0
workspaceModel.save.cache.to.file.ms,1740391203263000000,1740391263338000000,40
workspaceModel.mutableEntityStorage.collect.changes.ms,1740391203263000000,1740391263338000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1740391203263000000,1740391263338000000,2
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1740391203263000000,1740391263338000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1740391203263000000,1740391263338000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1740391203263000000,1740391263338000000,0
jps.project.serializers.load.ms,1740391203263000000,1740391263338000000,28
workspaceModel.mutableEntityStorage.remove.entity.ms,1740391203263000000,1740391263338000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1740391203263000000,1740391263338000000,63
workspaceModel.load.cache.from.file.ms,1740391203263000000,1740391263338000000,149
jps.library.entities.serializer.save.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1740391203263000000,1740391263338000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1740391203263000000,1740391263338000000,0
jps.facet.change.listener.process.change.events.ms,1740391203263000000,1740391263338000000,0
jps.facet.change.listener.init.bridge.ms,1740391203263000000,1740391263338000000,0
jps.apply.loaded.storage.ms,1740391203263000000,1740391263338000000,11
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1740391203263000000,1740391263338000000,8
jps.reload.project.entities.ms,1740391203263000000,1740391263338000000,0
jps.global.handle.changed.events.ms,1740391203263000000,1740391263338000000,0
workspaceModel.do.save.caches.ms,1740391203263000000,1740391263338000000,42
jps.project.serializers.save.ms,1740391203263000000,1740391263338000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1740391203263000000,1740391263338000000,3
jps.global.get.library.by.name.ms,1740391203263000000,1740391263338000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1740391203263000000,1740391263338000000,18
workspaceModel.moduleBridge.update.option.ms,1740391203263000000,1740391263338000000,0
jps.module.iml.entities.serializer.save.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1740391203263000000,1740391263338000000,0
workspaceModel.sync.entities.ms,1740391203263000000,1740391263338000000,0
jps.save.global.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.global.apply.state.to.project.ms,1740391203263000000,1740391263338000000,23
workspaceModel.mutableEntityStorage.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1740391203263000000,1740391263338000000,0
jps.artifact.entities.serializer.load.entities.ms,1740391203263000000,1740391263338000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1740391203263000000,1740391263338000000,4
workspaceModel.moduleManagerBridge.newModule.ms,1740391203263000000,1740391263338000000,0
jps.global.get.library.ms,1740391203263000000,1740391263338000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1740391203263000000,1740391263338000000,0
jps.global.get.libraries.ms,1740391203263000000,1740391263338000000,0
jps.load.initial.state.ms,1740391203263000000,1740391263338000000,9
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1740391203263000000,1740391263338000000,0
jps.load.project.to.empty.storage.ms,1740391203263000000,1740391263338000000,50
workspaceModel.moduleManagerBridge.load.all.modules.ms,1740391203263000000,1740391263338000000,114
workspaceModel.moduleBridge.before.changed.ms,1740391203263000000,1740391263338000000,0
workspaceModel.global.updates.count,1740391203263000000,1740391263338000000,1
jps.global.handle.before.change.events.ms,1740391203263000000,1740391263338000000,0
jps.facet.change.listener.before.change.events.ms,1740391203263000000,1740391263338000000,0
jps.app.storage.content.reader.load.component.ms,1740391203263000000,1740391263338000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1740391203263000000,1740391263338000000,0
jps.save.changed.project.entities.ms,1740391203263000000,1740391263338000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1740391203263000000,1740391263338000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1740391203263000000,1740391263338000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1740391203263000000,1740391263338000000,12
jps.library.entities.serializer.load.entities.ms,1740391203263000000,1740391263338000000,2
jps.global.initialize.library.bridges.after.loading.ms,1740391203263000000,1740391263338000000,0
jps.global.initialize.library.bridges.ms,1740391203263000000,1740391263338000000,27
workspaceModel.updates.count,1740391203263000000,1740391263338000000,4
workspaceModel.workspaceFileIndexData.markDirty.ms,1740391203263000000,1740391263338000000,0
workspaceModel.cachedValue.from.cache.count,1740391203263000000,1740391263338000000,93
workspaceModel.updates.ms,1740391203263000000,1740391263338000000,67
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1740391203263000000,1740391263338000000,12
workspaceModel.workspaceFileIndexData.processFileSets.ms,1740391203263000000,1740391263338000000,0
